year	Customer	AVA	Sensor_ID	grower_ID	grid	Collection_start_date	Collection_end_date	Date_received	j_date	days_sampled	received_to_result	GPM	spores	log_spores	Latitude	Longitude
2022	Grapery	Bakersfield	S53	SW_Row_30	out	3/1/22	3/3/22	3/4/22	22062	2	0	NOT_DETECTED	0	0	35.1118	-118.876519
2022	Grapery	Bakersfield	S57	SE_Row_85	out	3/1/22	3/3/22	3/4/22	22062	2	0	NOT_DETECTED	0	0	35.111775	-118.874323
2022	Grapery	Bakersfield	S60	NE_Row_85	out	3/1/22	3/3/22	3/4/22	22062	2	0	NOT_DETECTED	0	0	35.113595	-118.874342
2022	Grapery	Bakersfield	S63	NW_Row_30	out	3/1/22	3/3/22	3/4/22	22062	2	0	NOT_DETECTED	0	0	35.113601	-118.876485
2022	Grapery	Bakersfield	S57	SE_Row_85	out	3/3/22	3/7/22	3/8/22	22066	4	0	NOT_DETECTED	0	0	35.111775	-118.874323
2022	Grapery	Bakersfield	S60	NE_Row_85	out	3/3/22	3/7/22	3/8/22	22066	4	0	NOT_DETECTED	0	0	35.113595	-118.874342
2022	Grapery	Bakersfield	S63	NW_Row_30	out	3/3/22	3/7/22	3/8/22	22066	4	0	NOT_DETECTED	0	0	35.113601	-118.876485
2022	Grapery	Bakersfield	S53	SW_Row_30	out	3/7/22	3/10/22	3/10/22	22069	3	1	NOT_DETECTED	0	0	35.1118	-118.876519
2022	Grapery	Bakersfield	S57	SE_Row_85	out	3/7/22	3/10/22	3/10/22	22069	3	1	NOT_DETECTED	0	0	35.111775	-118.874323
2022	Grapery	Bakersfield	S60	NE_Row_85	out	3/7/22	3/10/22	3/10/22	22069	3	1	NOT_DETECTED	0	0	35.113595	-118.874342
2022	Grapery	Bakersfield	S63	NW_Row_30	out	3/7/22	3/10/22	3/10/22	22069	3	1	NOT_DETECTED	0	0	35.113601	-118.876485
2022	Grapery	Bakersfield	S53	SW_Row_30	out	3/10/22	3/14/22	3/15/22	22073	4	0	NOT_DETECTED	0	0	35.1118	-118.876519
2022	Grapery	Bakersfield	S57	SE_Row_85	out	3/10/22	3/14/22	3/15/22	22073	4	0	NOT_DETECTED	0	0	35.111775	-118.874323
2022	Grapery	Bakersfield	S60	NE_Row_85	out	3/10/22	3/14/22	3/15/22	22073	4	0	NOT_DETECTED	0	0	35.113595	-118.874342
2022	Grapery	Bakersfield	S63	NW_Row_30	out	3/10/22	3/14/22	3/15/22	22073	4	0	NOT_DETECTED	0	0	35.113601	-118.876485
2022	Matthiasson	Oak_Knoll	S90	Linda_Vista	out	3/16/22	3/21/22	3/22/22	22080	5	0	NOT_DETECTED	0	0	38.33933	-122.33626
2022	Ridge_Monte_Bello	Santa_cruz_mountains	S69	Perrone_A	out	3/17/22	3/21/22	3/22/22	22080	4	0	NOT_DETECTED	0	0	37.30528	-122.12901
2022	Ridge_Monte_Bello	Santa_cruz_mountains	S76	Ortmann_A	out	3/17/22	3/21/22	3/22/22	22080	4	0	NOT_DETECTED	0	0	37.29285	-122.10722
2022	Ridge_Monte_Bello	Santa_cruz_mountains	S77	Jimsomare_A	out	3/17/22	3/21/22	3/22/22	22080	4	0	NOT_DETECTED	0	0	37.28674	-122.09498
2022	Ridge_Lytton_Springs	Russian_river	S55	Whitton_A	out	3/16/22	3/21/22	3/22/22	22080	5	0	NOT_DETECTED	0	0	38.6831	-122.87366
2022	Ridge_Lytton_Springs	Russian_river	S62	Lytton_East_A	out	3/16/22	3/21/22	3/22/22	22080	5	0	NOT_DETECTED	0	0	38.65699	-122.88366
2022	Ridge_Lytton_Springs	Russian_river	S92	Lytton_West_A	out	3/16/22	3/21/22	3/22/22	22080	5	0	NOT_DETECTED	0	0	38.65378	-122.89216
2022	Grapery	Bakersfield	S53	SW_Row_30	out	3/17/22	3/21/22	3/22/22	22080	4	0	NOT_DETECTED	0	0	35.1118	-118.876519
2022	Grapery	Bakersfield	S57	SE_Row_85	out	3/17/22	3/21/22	3/22/22	22080	4	0	NOT_DETECTED	0	0	35.111775	-118.874323
2022	Grapery	Bakersfield	S60	NE_Row_85	out	3/17/22	3/21/22	3/22/22	22080	4	0	NOT_DETECTED	0	0	35.113595	-118.874342
2022	Grapery	Bakersfield	S63	NW_Row_30	out	3/17/22	3/21/22	3/22/22	22080	4	0	NOT_DETECTED	0	0	35.113601	-118.876485
2022	Donum	Carneros	S82	16-5_115_PN	Donum	3/18/22	3/21/22	3/22/22	22080	3	0	NOT_DETECTED	0	0	38.22924	-122.40037
2022	Donum	Carneros	S83	16-1_76_CH	Donum	3/18/22	3/21/22	3/22/22	22080	3	0	NOT_DETECTED	0	0	38.22889	-122.40295
2022	Donum	Carneros	S84	13-2_Wente_CH	Donum	3/18/22	3/21/22	3/22/22	22080	3	0	NOT_DETECTED	0	0	38.232	-122.404
2022	Donum	Carneros	S85	18-3_667_PN	Donum	3/18/22	3/21/22	3/22/22	22080	3	0	NOT_DETECTED	0	0	38.23424	-122.3976
