V1	S53	S57	S60	S63	S90	S69	S76	S77	S55	S62	S92	S79	S82	S83	S84	S85	S86	S87	S88	S78	S65	S70	S74a	S80	S81	S51	S90	S94	S95	S96	S101	S109	S74	S93	S100	S102	S99	S107	S54	S104	S105	S111	S112	S113	S114	S98	S118	S119	S120	S121	S122	S155	S154	S156	S157	S159	S160	S161	S184	S169	S175	S162	S180	S185	S178	S202	S203	S204	S206	S207	S208	S205	S301	S302	S304	S308	S307	S304
S53	0	199.7698845	281.1586645	200.2862556	473073.2379	380275.8771	377908.0269	376638.8803	532829.6552	531307.1462	531554.6669	477846.1016	467825.4278	467951.5757	468266.2189	468064.8262	509305.3826	466729.3381	466626.6619	473584.7807	471355.9171	471244.3152	471323.9686	468495.5609	467678.1275	483687.4048	473073.2379	483911.528	483222.1964	472913.4419	473039.5571	472923.7846	471323.9686	240025.9791	212622.479	212965.7261	472910.0346	502638.212	467175.6794	490450.4152	490628.9714	467058.5677	466204.0485	467742.1518	467305.243	239542.5667	491357.2919	484503.2657	487318.9184	480749.7951	479912.9749	531187.7486	531703.3339	532896.0199	500031.7633	377910.3706	376588.4963	380394.2988	471434.0356	471072.4417	471293.3299	471092.1097	470930.3952	471071.1131	471311.9428	468233.7099	467797.261	467585.3288	467709.999	468163.779	468026.3579	468070.8766	473202.4728	473262.6857	472910.402	473062.6173	472910.402	472910.402
S57	199.7698845	0	202.3824634	282.6652055	473202.8495	380428.8314	378060.9352	376791.7365	532961.8982	531440.1258	531687.8658	477974.7343	467959.0025	468085.2109	468399.8001	468198.2238	509441.0037	466862.5014	466759.8941	473713.3101	471490.6588	471379.2684	471459.1047	468630.7818	467813.449	483814.7752	473202.8495	484039.0012	483354.9817	473046.2489	473172.4999	473056.7382	471459.1047	240195.7437	212798.0377	213141.0586	473042.909	502762.2498	467307.1089	490577.3815	490755.8394	467192.2053	466337.2924	467875.8164	467438.6541	239712.4895	491489.6906	484634.4345	487451.3371	480881.483	480043.7541	531320.7377	531836.5215	533028.2898	500159.972	378063.2674	376741.3749	380547.2507	471569.022	471207.4609	471428.3207	471227.0852	471065.2677	471205.9811	471446.7386	468367.3443	467930.8922	467718.8868	467843.5181	468297.4481	468160.0677	468204.4465	473335.2831	473395.4285	473043.1648	473195.4567	473043.1648	473043.1648
S60	281.1586645	202.3824634	0	194.9264153	473045.9724	380295.2559	377927.3055	376658.0456	532807.2705	531286.1438	531534.0774	477817.0388	467805.5517	467931.814	468246.355	468044.6158	509289.3936	466708.6863	466606.1399	473555.5295	471338.2528	471227.0537	471307.0557	468478.8101	467661.5691	483656.0407	473045.9724	483880.3507	483200.8322	472892.1194	473018.4898	472902.7376	471307.0557	240085.3274	212697.6051	213040.2104	472888.8386	502600.8558	467151.7805	490418.3177	490596.6959	467038.8105	466183.5486	467722.4455	467285.0581	239602.3288	491335.2017	484478.8803	487296.866	480726.3769	479887.8664	531166.7641	531682.723	532873.6856	500001.9242	377929.6241	376607.7102	380413.6722	471416.8373	471055.3061	471276.1399	471074.8906	470912.9799	471053.6894	471294.3815	468213.9466	467777.4917	467565.4213	467690.018	468144.0812	468006.7371	468050.9915	473181.1563	473241.2426	472888.9965	473041.3556	472888.9965	472888.9965
S63	200.2862556	282.6652055	194.9264153	0	472921.026	380147.2829	377779.3778	376510.1691	532679.7376	531157.8854	531405.6029	477693.0565	467676.7021	467802.9047	468117.4991	467915.9407	509158.5315	466580.2418	466477.6275	473431.6484	471208.254	471096.8465	471176.6684	468348.339	467530.9986	483533.3014	472921.026	483757.5101	483072.7614	472764.0264	472890.263	472774.5002	471176.6684	239920.6921	212527.21	212870.0401	472760.6793	502481.3975	467025.0436	490295.9767	490474.4516	466909.8989	466055.0247	467593.5074	467156.3697	239437.5364	491207.5124	484352.4016	487169.1567	480599.3866	479761.7709	531038.4962	531554.2597	532746.1262	499878.3609	377781.7078	376459.8117	380265.7017	471286.5974	470925.0338	471145.8957	470944.6615	470782.8522	470923.566	471164.3293	468085.0382	467648.5864	467436.5881	467561.2231	468015.1387	467877.7544	467922.1466	473053.0602	473113.2128	472760.9469	472913.2307	472760.9469	472760.9469
S90	473073.2379	473202.8495	473045.9724	472921.026	0	116413.2718	118089.8394	118946.3763	60394.69177	59303.76325	59690.65385	5664.340244	13459.75293	13590.08166	13318.79151	12853.51639	41258.56935	12768.73438	13007.18788	3395.438539	16252.56546	16935.57057	17511.61857	18226.55781	18742.17112	12715.45417	0	12733.39565	14294.45494	10027.20103	10457.63829	10491.42208	17511.61857	255135.4243	285026.5586	284451.1856	10240.43555	34402.76615	8164.161535	19262.58389	19557.7078	13946.80062	13248.98964	13753.27884	13197.61277	255738.16	20337.54116	12445.33533	16814.49811	10090.14267	7762.120909	59192.34823	59829.07012	60473.55398	27325.41763	118065.7359	119027.0507	116320.6091	17025.24177	17161.98364	17050.83375	17020.69562	16710.33204	16681.48247	16428.5308	13487.37801	13635.31416	13504.16861	13342.65957	13614.18675	13782.57428	13355.12909	10040.028	9828.029023	9887.253293	10129.99987	9887.253293	9887.253293
S69	380275.8771	380428.8314	380295.2559	380147.2829	116413.2718	0	2371.76305	3648.474101	166522.5549	164211.0586	164187.0588	122077.6019	105472.1979	105485.835	105843.4724	105959.1515	140371.1341	105182.8446	104984.0985	118673.7124	106766.63	106352.9276	106152.8332	103524.0851	102652.1295	129126.3121	116413.2718	129146.0522	120194.8592	111090.9246	110988.8178	110871.2494	106152.8332	146782.2223	177112.7083	176587.2463	110982.7999	150813.079	108403.1214	135566.4049	135879.5635	104709.9004	104602.4892	105258.3313	105282.2343	147365.0899	128035.9007	123759.9042	124385.9335	119668.1682	120357.3323	164087.1849	164340.7105	166552.7333	141969.9749	2371.617291	3694.163371	118.6453688	106471.8189	106102.6888	106340.6286	106185.1281	106195.3624	106326.298	106647.0285	105731.545	105358.5853	105290.8671	105460.1946	105616.3978	105433.2836	105692.0391	111337.3315	111495.0543	111157.4369	111170.156	111157.4369	111157.4369
S76	377908.0269	378060.9352	377927.3055	377779.3778	118089.8394	2371.76305	0	1278.304196	168548.9321	166251.8743	166233.8448	123753.4666	107263.437	107280.4049	107638.1472	107745.0598	142423.3311	106949.4643	106752.7195	120313.7522	108627.6785	108221.4566	108028.9264	105385.5398	104512.2197	130798.3306	118089.8394	130823.1451	122053.6429	112887.7225	112791.6503	112673.718	108028.9264	144513.3556	174847.9834	174321.291	112782.148	152492.6004	110103.7818	137268.3065	137579.2983	106498.0701	106368.3796	107052.5626	107063.1188	145096.9539	129923.3257	125569.3436	126253.8861	121473.6966	122124.9417	166127.9482	166387.5701	168579.9363	143765.2301	33.93403759	1322.430978	2489.613422	108342.8103	107972.7015	108210.9153	108053.5666	108058.79	108190.444	108509.8919	107528.1067	107151.8814	107079.6974	107248.3748	107413.8414	107231.3677	107484.8622	113136.1953	113291.7513	112952.5247	112969.1932	112952.5247	112952.5247
S77	376638.8803	376791.7365	376658.0456	376510.1691	118946.3763	3648.474101	1278.304196	0	169602.1003	167313.5185	167298.9762	124609.1269	108185.2937	108204.1338	108561.9018	108663.8733	143492.2924	107857.5159	107661.914	121149.6668	109588.7935	109186.8387	108998.608	106347.1603	105473.1461	131651.2914	118946.3763	131678.949	123012.4855	113812.2086	113719.545	113601.4175	108998.608	143317.6835	173654.7282	173127.2312	113708.0798	153348.4142	110974.5543	138137.5964	138447.3503	107418.2732	107276.0788	107976.1222	107979.1726	143901.7583	130897.9724	126500.0117	127217.6688	122402.4392	123032.2523	167189.5648	167452.7408	169633.5847	144686.7981	1277.041396	82.30339627	3765.989043	109309.5768	108938.9441	109177.2935	109018.9115	109021.2984	109153.348	109472.0436	108452.9333	108074.9057	108000.2167	108168.5126	108339.1748	108157.0785	108407.5893	114061.8246	114216.1466	113876.0419	113894.9341	113876.0419	113876.0419
S55	532829.6552	532961.8982	532807.2705	532679.7376	60394.69177	166522.5549	168548.9321	169602.1003	0	3030.327193	3634.398071	56285.9034	65155.97162	65044.38872	64717.86772	64879.21527	26343.91068	66171.14179	66284.73591	60513.05603	62046.2382	62257.91828	62273.58327	65107.76502	65966.9668	51769.96172	60394.69177	51452.33537	49641.2557	59945.80718	59835.88301	59952.97717	62273.58327	310734.2419	340944.112	340384.9903	59956.74867	40967.40974	65709.95827	45940.65694	45904.34504	65935.3672	66708.7053	65260.29176	65639.94677	311332.8147	41475.6944	48463.10587	45514.57173	52113.74777	53145.45587	3120.57906	3547.143965	116.4017813	35558.95494	168531.0754	169676.8652	166414.7896	62087.20477	62460.90013	62228.35924	62419.36081	62528.59794	62387.38942	62114.88787	64762.87997	65197.29182	65391.66585	65258.66202	64841.0682	64988.24524	64910.09294	59657.28094	59590.32475	59944.36227	59800.23991	59944.36227	59944.36227
S62	531307.1462	531440.1258	531286.1438	531157.8854	59303.76325	164211.0586	166251.8743	167313.5185	3030.327193	0	819.8662938	55393.07779	63512.66621	63393.27189	63072.81301	63257.57994	23878.54628	64580.63105	64685.85987	59583.66678	60244.05567	60429.76482	60422.25134	63262.03612	64113.93475	51180.70431	59303.76325	50850.18884	48089.56942	58396.66467	58267.73883	58383.44046	60422.25134	308669.511	338898.4925	338340.9807	58398.23375	41637.57883	64338.85176	45588.01642	45575.32787	64285.94324	65108.9472	63606.00955	64017.94848	309267.5329	39999.45566	47203.75499	44029.93379	50745.46775	51924.99478	124.1075982	840.6688165	2983.103834	35248.10173	166234.3597	167387.8726	164102.7126	60253.88122	60625.46308	60395.25688	60589.25726	60712.17145	60570.77976	60306.10797	63111.23293	63547.01923	63750.92366	63622.50125	63185.24834	63327.67882	63266.85972	58107.54176	58050.02539	58401.38632	58246.50246	58401.38632	58401.38632
